;name;distance;dist_change;power;accuracy;complexity;stam_cost;time_cost;qi_cost;features;functions;tier;freq
88;Heavy Drunken Claw;1;0;28;21;2;24;50;10;{'drunken', 'heavy', 'claw'};['cause_bleeding', 'cause_off_balance'];2;3
89;Skillful Heavy Drunken Claw;1;0;29;22;2;29;48;15;{'skillful', 'drunken', 'heavy', 'claw'};['cause_bleeding', 'cause_off_balance'];3;3
90;Superior Heavy Drunken Claw;1;0;31;23;2;31;45;20;{'superior', 'drunken', 'heavy', 'claw'};['cause_bleeding', 'cause_off_balance'];4;3
91;Advanced Heavy Drunken Claw;1;0;32;24;2;34;42;25;{'advanced', 'drunken', 'heavy', 'claw'};['cause_bleeding', 'cause_off_balance'];5;3
92;Expert Heavy Drunken Claw;1;0;34;25;2;36;40;30;{'expert', 'drunken', 'heavy', 'claw'};['cause_bleeding', 'cause_off_balance'];6;3
93;Ultimate Heavy Drunken Claw;1;0;35;26;2;38;38;35;{'ultimate', 'drunken', 'heavy', 'claw'};['cause_bleeding', 'cause_off_balance'];7;3
94;Long Claw;2;0;23;23;1;19;50;5;{'long', 'claw'};['cause_bleeding'];1;2
95;Skillful Long Claw;2;0;24;24;1;23;48;10;{'long', 'skillful', 'claw'};['cause_bleeding'];2;2
96;Superior Long Claw;2;0;25;25;1;25;45;15;{'long', 'superior', 'claw'};['cause_bleeding'];3;2
97;Advanced Long Claw;2;0;26;26;1;27;42;20;{'long', 'advanced', 'claw'};['cause_bleeding'];4;2
98;Expert Long Claw;2;0;28;28;1;28;40;25;{'long', 'expert', 'claw'};['cause_bleeding'];5;2
99;Ultimate Long Claw;2;0;29;29;1;30;38;30;{'long', 'ultimate', 'claw'};['cause_bleeding'];6;2
100;Long Light Claw;2;0;18;25;1;14;50;10;{'long', 'light', 'claw'};['cause_bleeding'];2;2
101;Skillful Long Light Claw;2;0;19;26;1;17;48;15;{'long', 'light', 'skillful', 'claw'};['cause_bleeding'];3;2
102;Superior Long Light Claw;2;0;20;28;1;18;45;20;{'long', 'light', 'superior', 'claw'};['cause_bleeding'];4;2
103;Advanced Long Light Claw;2;0;21;29;1;20;42;25;{'long', 'light', 'advanced', 'claw'};['cause_bleeding'];5;2
104;Expert Long Light Claw;2;0;22;30;1;21;40;30;{'long', 'light', 'expert', 'claw'};['cause_bleeding'];6;2
105;Ultimate Long Light Claw;2;0;22;31;1;22;38;35;{'long', 'light', 'ultimate', 'claw'};['cause_bleeding'];7;2
106;Long Heavy Claw;2;0;28;21;1;24;50;10;{'long', 'heavy', 'claw'};['cause_bleeding'];2;2
107;Skillful Long Heavy Claw;2;0;29;22;1;29;48;15;{'long', 'skillful', 'heavy', 'claw'};['cause_bleeding'];3;2
108;Superior Long Heavy Claw;2;0;31;23;1;31;45;20;{'long', 'superior', 'heavy', 'claw'};['cause_bleeding'];4;2
109;Advanced Long Heavy Claw;2;0;32;24;1;34;42;25;{'long', 'advanced', 'heavy', 'claw'};['cause_bleeding'];5;2
110;Expert Long Heavy Claw;2;0;34;25;1;36;40;30;{'long', 'expert', 'heavy', 'claw'};['cause_bleeding'];6;2
111;Ultimate Long Heavy Claw;2;0;35;26;1;38;38;35;{'long', 'ultimate', 'heavy', 'claw'};['cause_bleeding'];7;2
112;Charging Claw;2;-1;23;23;1;21;60;5;{'charging', 'claw'};['cause_bleeding'];1;2
113;Skillful Charging Claw;2;-1;24;24;1;25;57;10;{'charging', 'skillful', 'claw'};['cause_bleeding'];2;2
114;Superior Charging Claw;2;-1;25;25;1;27;54;15;{'charging', 'superior', 'claw'};['cause_bleeding'];3;2
115;Advanced Charging Claw;2;-1;26;26;1;29;51;20;{'charging', 'advanced', 'claw'};['cause_bleeding'];4;2
116;Expert Charging Claw;2;-1;28;28;1;32;48;25;{'charging', 'expert', 'claw'};['cause_bleeding'];5;2
117;Ultimate Charging Claw;2;-1;29;29;1;34;45;30;{'charging', 'ultimate', 'claw'};['cause_bleeding'];6;2
118;Long Charging Claw;3;-1;23;23;1;21;60;10;{'charging', 'long', 'claw'};['cause_bleeding'];2;1
119;Skillful Long Charging Claw;3;-1;24;24;1;25;57;15;{'charging', 'skillful', 'long', 'claw'};['cause_bleeding'];3;1
120;Superior Long Charging Claw;3;-1;25;25;1;27;54;20;{'charging', 'long', 'superior', 'claw'};['cause_bleeding'];4;1
121;Advanced Long Charging Claw;3;-1;26;26;1;29;51;25;{'charging', 'long', 'advanced', 'claw'};['cause_bleeding'];5;1
122;Expert Long Charging Claw;3;-1;28;28;1;32;48;30;{'charging', 'expert', 'long', 'claw'};['cause_bleeding'];6;1
123;Ultimate Long Charging Claw;3;-1;29;29;1;34;45;35;{'charging', 'long', 'ultimate', 'claw'};['cause_bleeding'];7;1
124;Onslaught Claw;3;-2;23;23;2;23;70;10;{'onslaught', 'claw'};['cause_bleeding'];2;2
125;Skillful Onslaught Claw;3;-2;24;24;2;28;66;15;{'onslaught', 'skillful', 'claw'};['cause_bleeding'];3;2
126;Superior Onslaught Claw;3;-2;25;25;2;30;63;20;{'onslaught', 'superior', 'claw'};['cause_bleeding'];4;2
127;Advanced Onslaught Claw;3;-2;26;26;2;32;60;25;{'onslaught', 'advanced', 'claw'};['cause_bleeding'];5;2
128;Expert Onslaught Claw;3;-2;28;28;2;34;56;30;{'onslaught', 'expert', 'claw'};['cause_bleeding'];6;2
129;Ultimate Onslaught Claw;3;-2;29;29;2;37;52;35;{'onslaught', 'ultimate', 'claw'};['cause_bleeding'];7;2
130;Long Onslaught Claw;4;-2;23;23;2;23;70;20;{'onslaught', 'long', 'claw'};['cause_bleeding'];4;1
131;Skillful Long Onslaught Claw;4;-2;24;24;2;28;66;25;{'onslaught', 'skillful', 'long', 'claw'};['cause_bleeding'];5;1
132;Superior Long Onslaught Claw;4;-2;25;25;2;30;63;30;{'onslaught', 'long', 'superior', 'claw'};['cause_bleeding'];6;1
133;Advanced Long Onslaught Claw;4;-2;26;26;2;32;60;35;{'onslaught', 'long', 'advanced', 'claw'};['cause_bleeding'];7;1
134;Expert Long Onslaught Claw;4;-2;28;28;2;34;56;40;{'onslaught', 'expert', 'long', 'claw'};['cause_bleeding'];8;1
135;Ultimate Long Onslaught Claw;4;-2;29;29;2;37;52;45;{'onslaught', 'long', 'ultimate', 'claw'};['cause_bleeding'];9;1
136;Pushing Claw;1;0;23;23;1;19;50;5;{'pushing', 'claw'};['cause_bleeding', 'do_knockback'];1;3
137;Skillful Pushing Claw;1;0;24;24;1;23;48;10;{'skillful', 'pushing', 'claw'};['cause_bleeding', 'do_knockback'];2;3
138;Superior Pushing Claw;1;0;25;25;1;25;45;15;{'pushing', 'superior', 'claw'};['cause_bleeding', 'do_knockback'];3;3
139;Advanced Pushing Claw;1;0;26;26;1;27;42;20;{'pushing', 'advanced', 'claw'};['cause_bleeding', 'do_knockback'];4;3
140;Expert Pushing Claw;1;0;28;28;1;28;40;25;{'expert', 'pushing', 'claw'};['cause_bleeding', 'do_knockback'];5;3
141;Ultimate Pushing Claw;1;0;29;29;1;30;38;30;{'ultimate', 'pushing', 'claw'};['cause_bleeding', 'do_knockback'];6;3
142;Long Pushing Claw;2;0;23;23;1;19;50;10;{'long', 'pushing', 'claw'};['cause_bleeding', 'do_knockback'];2;2
143;Skillful Long Pushing Claw;2;0;24;24;1;23;48;15;{'long', 'skillful', 'pushing', 'claw'};['cause_bleeding', 'do_knockback'];3;2
144;Superior Long Pushing Claw;2;0;25;25;1;25;45;20;{'long', 'pushing', 'superior', 'claw'};['cause_bleeding', 'do_knockback'];4;2
145;Advanced Long Pushing Claw;2;0;26;26;1;27;42;25;{'long', 'pushing', 'advanced', 'claw'};['cause_bleeding', 'do_knockback'];5;2
146;Expert Long Pushing Claw;2;0;28;28;1;28;40;30;{'long', 'expert', 'pushing', 'claw'};['cause_bleeding', 'do_knockback'];6;2
147;Ultimate Long Pushing Claw;2;0;29;29;1;30;38;35;{'long', 'pushing', 'ultimate', 'claw'};['cause_bleeding', 'do_knockback'];7;2
148;Acrobatic Claw;1;0;23;23;3;24;50;10;{'acrobatic', 'claw'};['cause_bleeding', 'do_agility_based_dam', 'do_strength_based_dam'];2;1
149;Skillful Acrobatic Claw;1;0;24;24;3;29;48;15;{'skillful', 'acrobatic', 'claw'};['cause_bleeding', 'do_agility_based_dam', 'do_strength_based_dam'];3;1
150;Superior Acrobatic Claw;1;0;25;25;3;31;45;20;{'superior', 'acrobatic', 'claw'};['cause_bleeding', 'do_agility_based_dam', 'do_strength_based_dam'];4;1
151;Advanced Acrobatic Claw;1;0;26;26;3;34;42;25;{'advanced', 'acrobatic', 'claw'};['cause_bleeding', 'do_agility_based_dam', 'do_strength_based_dam'];5;1
152;Expert Acrobatic Claw;1;0;28;28;3;36;40;30;{'expert', 'acrobatic', 'claw'};['cause_bleeding', 'do_agility_based_dam', 'do_strength_based_dam'];6;1
153;Ultimate Acrobatic Claw;1;0;29;29;3;38;38;35;{'ultimate', 'acrobatic', 'claw'};['cause_bleeding', 'do_agility_based_dam', 'do_strength_based_dam'];7;1
154;Long Acrobatic Claw;2;0;23;23;3;24;50;15;{'long', 'acrobatic', 'claw'};['cause_bleeding', 'do_agility_based_dam', 'do_strength_based_dam'];3;1
155;Skillful Long Acrobatic Claw;2;0;24;24;3;29;48;20;{'long', 'skillful', 'acrobatic', 'claw'};['cause_bleeding', 'do_agility_based_dam', 'do_strength_based_dam'];4;1
156;Superior Long Acrobatic Claw;2;0;25;25;3;31;45;25;{'long', 'superior', 'acrobatic', 'claw'};['cause_bleeding', 'do_agility_based_dam', 'do_strength_based_dam'];5;1
157;Advanced Long Acrobatic Claw;2;0;26;26;3;34;42;30;{'long', 'advanced', 'acrobatic', 'claw'};['cause_bleeding', 'do_agility_based_dam', 'do_strength_based_dam'];6;1
158;Expert Long Acrobatic Claw;2;0;28;28;3;36;40;35;{'long', 'expert', 'acrobatic', 'claw'};['cause_bleeding', 'do_agility_based_dam', 'do_strength_based_dam'];7;1
159;Ultimate Long Acrobatic Claw;2;0;29;29;3;38;38;40;{'long', 'ultimate', 'acrobatic', 'claw'};['cause_bleeding', 'do_agility_based_dam', 'do_strength_based_dam'];8;1
160;Power Claw;1;0;23;23;1;19;50;10;{'power', 'claw'};['cause_bleeding', 'do_strength_based_dam'];2;3
161;Skillful Power Claw;1;0;24;24;1;23;48;15;{'skillful', 'power', 'claw'};['cause_bleeding', 'do_strength_based_dam'];3;3
162;Superior Power Claw;1;0;25;25;1;25;45;20;{'superior', 'power', 'claw'};['cause_bleeding', 'do_strength_based_dam'];4;3
163;Advanced Power Claw;1;0;26;26;1;27;42;25;{'advanced', 'power', 'claw'};['cause_bleeding', 'do_strength_based_dam'];5;3
164;Expert Power Claw;1;0;28;28;1;28;40;30;{'expert', 'power', 'claw'};['cause_bleeding', 'do_strength_based_dam'];6;3
165;Ultimate Power Claw;1;0;29;29;1;30;38;35;{'ultimate', 'power', 'claw'};['cause_bleeding', 'do_strength_based_dam'];7;3
166;Long Power Claw;2;0;23;23;1;19;50;15;{'long', 'power', 'claw'};['cause_bleeding', 'do_strength_based_dam'];3;2
167;Skillful Long Power Claw;2;0;24;24;1;23;48;20;{'long', 'skillful', 'power', 'claw'};['cause_bleeding', 'do_strength_based_dam'];4;2
168;Superior Long Power Claw;2;0;25;25;1;25;45;25;{'long', 'superior', 'power', 'claw'};['cause_bleeding', 'do_strength_based_dam'];5;2
169;Advanced Long Power Claw;2;0;26;26;1;27;42;30;{'long', 'advanced', 'power', 'claw'};['cause_bleeding', 'do_strength_based_dam'];6;2
170;Expert Long Power Claw;2;0;28;28;1;28;40;35;{'long', 'expert', 'power', 'claw'};['cause_bleeding', 'do_strength_based_dam'];7;2
171;Ultimate Long Power Claw;2;0;29;29;1;30;38;40;{'long', 'ultimate', 'power', 'claw'};['cause_bleeding', 'do_strength_based_dam'];8;2
172;Trick Claw;1;0;23;23;1;19;50;10;{'trick', 'claw'};['cause_bleeding', 'do_agility_based_dam'];2;3
173;Skillful Trick Claw;1;0;24;24;1;23;48;15;{'skillful', 'trick', 'claw'};['cause_bleeding', 'do_agility_based_dam'];3;3
174;Superior Trick Claw;1;0;25;25;1;25;45;20;{'trick', 'superior', 'claw'};['cause_bleeding', 'do_agility_based_dam'];4;3
175;Advanced Trick Claw;1;0;26;26;1;27;42;25;{'advanced', 'trick', 'claw'};['cause_bleeding', 'do_agility_based_dam'];5;3
176;Expert Trick Claw;1;0;28;28;1;28;40;30;{'expert', 'trick', 'claw'};['cause_bleeding', 'do_agility_based_dam'];6;3
177;Ultimate Trick Claw;1;0;29;29;1;30;38;35;{'ultimate', 'trick', 'claw'};['cause_bleeding', 'do_agility_based_dam'];7;3
178;Long Trick Claw;2;0;23;23;1;19;50;15;{'long', 'trick', 'claw'};['cause_bleeding', 'do_agility_based_dam'];3;2
179;Skillful Long Trick Claw;2;0;24;24;1;23;48;20;{'long', 'skillful', 'trick', 'claw'};['cause_bleeding', 'do_agility_based_dam'];4;2
180;Superior Long Trick Claw;2;0;25;25;1;25;45;25;{'long', 'trick', 'superior', 'claw'};['cause_bleeding', 'do_agility_based_dam'];5;2
181;Advanced Long Trick Claw;2;0;26;26;1;27;42;30;{'advanced', 'long', 'trick', 'claw'};['cause_bleeding', 'do_agility_based_dam'];6;2
182;Expert Long Trick Claw;2;0;28;28;1;28;40;35;{'long', 'expert', 'trick', 'claw'};['cause_bleeding', 'do_agility_based_dam'];7;2
183;Ultimate Long Trick Claw;2;0;29;29;1;30;38;40;{'long', 'trick', 'ultimate', 'claw'};['cause_bleeding', 'do_agility_based_dam'];8;2
184;Lightning Claw;1;0;23;23;1;19;50;10;{'lightning', 'claw'};['cause_bleeding', 'do_speed_based_dam'];2;3
185;Skillful Lightning Claw;1;0;24;24;1;23;48;15;{'skillful', 'lightning', 'claw'};['cause_bleeding', 'do_speed_based_dam'];3;3
186;Superior Lightning Claw;1;0;25;25;1;25;45;20;{'superior', 'lightning', 'claw'};['cause_bleeding', 'do_speed_based_dam'];4;3
187;Advanced Lightning Claw;1;0;26;26;1;27;42;25;{'advanced', 'lightning', 'claw'};['cause_bleeding', 'do_speed_based_dam'];5;3
188;Expert Lightning Claw;1;0;28;28;1;28;40;30;{'expert', 'lightning', 'claw'};['cause_bleeding', 'do_speed_based_dam'];6;3
189;Ultimate Lightning Claw;1;0;29;29;1;30;38;35;{'ultimate', 'lightning', 'claw'};['cause_bleeding', 'do_speed_based_dam'];7;3
190;Long Lightning Claw;2;0;23;23;1;19;50;15;{'long', 'lightning', 'claw'};['cause_bleeding', 'do_speed_based_dam'];3;2
191;Skillful Long Lightning Claw;2;0;24;24;1;23;48;20;{'long', 'skillful', 'lightning', 'claw'};['cause_bleeding', 'do_speed_based_dam'];4;2
192;Superior Long Lightning Claw;2;0;25;25;1;25;45;25;{'long', 'superior', 'lightning', 'claw'};['cause_bleeding', 'do_speed_based_dam'];5;2
193;Advanced Long Lightning Claw;2;0;26;26;1;27;42;30;{'long', 'advanced', 'lightning', 'claw'};['cause_bleeding', 'do_speed_based_dam'];6;2
194;Expert Long Lightning Claw;2;0;28;28;1;28;40;35;{'long', 'expert', 'lightning', 'claw'};['cause_bleeding', 'do_speed_based_dam'];7;2
195;Ultimate Long Lightning Claw;2;0;29;29;1;30;38;40;{'long', 'ultimate', 'lightning', 'claw'};['cause_bleeding', 'do_speed_based_dam'];8;2
196;Energy Claw;1;0;23;23;1;19;50;10;{'energy', 'claw'};['cause_bleeding', 'do_qi_based_dam'];2;3
197;Skillful Energy Claw;1;0;24;24;1;23;48;15;{'skillful', 'energy', 'claw'};['cause_bleeding', 'do_qi_based_dam'];3;3
198;Superior Energy Claw;1;0;25;25;1;25;45;20;{'superior', 'energy', 'claw'};['cause_bleeding', 'do_qi_based_dam'];4;3
